Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761099402,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761099403,5,,Aggregated,0.000000,0.000000,160,160,160,160,160,160,160,160,160,160,160,1,0,161.3913,161.3913,161.3913,161.3913,133.0
1761099405,10,,Aggregated,0.000000,0.000000,160,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,7,0,160.0,814.4005142857143,56.983300000000625,1791.311500000001,159649.85714285713
1761099406,15,,Aggregated,2.000000,0.000000,99,1700,1800,1800,1900,2400,2400,2400,2400,2400,2400,15,0,99,801.5111466666665,15.223599999998783,2428.0398999999998,149015.93333333332
1761099408,20,,Aggregated,2.000000,0.000000,99,160,1800,1800,1900,2400,2400,2400,2400,2400,2400,19,0,99,650.5475105263157,15.223599999998783,2428.0398999999998,117658.26315789473
1761099410,25,,Aggregated,3.800000,0.000000,640,1700,1800,1900,3900,3900,4000,4000,4000,4000,4000,28,0,620.0,1101.8883964285712,15.223599999998783,3952.043100000001,133064.5
1761099413,30,,Aggregated,2.714286,0.000000,750,1800,3200,3900,4000,4200,4500,4500,4500,4500,4500,34,0,740.0,1557.4574735294118,15.223599999998783,4541.366399999999,164358.0294117647
1761099414,35,,Aggregated,3.400000,0.000000,1700,3900,4100,4200,5400,5700,6000,6000,6000,6000,6000,49,0,1700.0,2226.4460306122455,15.223599999998783,6032.541200000001,167309.79591836734
1761099417,40,,Aggregated,3.300000,0.000000,1800,3900,4200,4500,5600,6000,6500,6700,6700,6700,6700,56,0,1800.0,2386.431291071429,15.223599999998783,6654.2107000000005,166378.82142857142
1761099418,45,,Aggregated,4.200000,0.000000,1800,4000,4500,4800,5700,6700,8000,8100,8100,8100,8100,75,0,1800.0,2619.7991653333343,15.223599999998783,8112.653300000002,154072.32
1761099419,50,,Aggregated,3.700000,0.000000,1800,4000,4600,5100,5700,6700,8000,8100,8100,8100,8100,79,0,1800.0,2639.866979746836,15.223599999998783,8112.653300000002,155711.21518987342
