Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,4273,0,3300.0,3465.0877103674197,92.607600000008,14563.2515,69247.30002340276,7.1171776831724145,0.0,3300,4000,4600,4900,6000,7300,8500,9000,11000,15000,15000
POST,/api/customer/owners,1020,0,1900.0,2321.55997254902,25.130300000000716,14537.9121,133.44117647058823,1.698928442975863,0.0,1900,2800,3500,3800,4600,5200,6200,7800,13000,15000,15000
GET,/api/customer/owners/1,335,0,1800.0,2277.455794328359,18.00449999998932,8786.68090000008,209.0,0.5579814003891316,0.0,1800,2500,3200,3700,4800,6000,6800,7300,8800,8800,8800
GET,/api/customer/owners/10,291,0,1800.0,2299.8123292096207,39.15159999999673,12508.967599999998,293.0,0.48469429108429035,0.0,1800,2600,3500,3800,4700,5500,7700,8900,13000,13000,13000
GET,/api/customer/owners/2,320,0,1700.0,2118.5982462500006,14.02330000001939,8871.207699999995,214.0,0.532997158580663,0.0,1700,2500,3200,3500,4500,5200,6500,7900,8900,8900,8900
GET,/api/customer/owners/3,366,0,1600.0,2266.5876614754106,19.93160000000671,14510.228899999995,291.0,0.6096155001266332,0.0,1700,2500,3300,3600,4900,6200,7100,8500,15000,15000,15000
GET,/api/customer/owners/4,324,0,1700.0,2215.2993305555565,36.050299999999424,7459.872799999971,208.0,0.5396596230629213,0.0,1700,2600,3400,3700,4700,5300,6300,6800,7500,7500,7500
GET,/api/customer/owners/5,321,0,1800.0,2262.709113707162,20.137399999981653,14512.572900000003,211.0,0.5346627747012275,0.0,1800,2600,3100,3500,4600,5800,7300,8700,15000,15000,15000
GET,/api/customer/owners/6,342,0,2200.0,2447.8108122807016,18.062400000019352,12519.209700000005,283.0,0.5696407132330835,0.0,2200,3000,3500,3900,4700,5300,6900,7500,13000,13000,13000
GET,/api/customer/owners/7,344,0,1900.0,2372.0003331395346,21.165599999989126,10714.4827,202.0,0.5729719454742127,0.0,1900,2900,3500,3900,4800,5700,7500,8700,11000,11000,11000
GET,/api/customer/owners/8,314,0,1700.0,2212.2264792993633,19.381099999975504,10267.949999999999,209.0,0.5230034618572755,0.0,1700,2600,3400,3700,4500,5100,5500,7800,10000,10000,10000
GET,/api/customer/owners/9,292,0,1800.0,2318.820896232875,28.525900000005322,14549.365000000002,216.0,0.48635990720485495,0.0,1900,2800,3400,3700,4600,5500,7100,7900,15000,15000,15000
GET,/api/vet/vets,2087,0,1300.0,1787.1186039290856,21.114300000022013,14547.127199999999,653.0,3.476140843618261,0.0,1300,1800,2300,2600,3700,4600,6500,8500,13000,15000,15000
,Aggregated,10629,0,2200.0,2663.720380449721,14.02330000001939,14563.2515,28050.897826700537,17.703833745480832,0.0,2200,3200,3800,4100,5100,6300,7800,8600,13000,15000,15000
