Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,4986,4908,140.0,2316.1597672683506,7.453499999996893,20509.336799999997,6726.682511030886,16.787888666212673,16.525262249051703,140,450,1500,3900,8900,13000,16000,19000,20000,21000,21000
POST,/api/customer/owners,1346,1305,150.0,2249.5604321693913,7.9451999999946565,20286.9705,56.466567607726596,4.531989198700814,4.393941979423895,150,480,1500,4200,8600,13000,16000,19000,20000,20000,20000
GET,/api/customer/owners/1,391,380,160.0,2374.799976982099,8.46149999998147,20173.151299999998,150.68797953964193,1.3164990911530596,1.2794620323226666,160,470,2600,5300,8400,13000,16000,19000,20000,20000,20000
GET,/api/customer/owners/10,370,353,160.0,2470.8626251351347,8.444199999985358,19826.525100000028,156.57027027027027,1.2457919788404912,1.188552887920793,160,450,1700,5000,11000,13000,16000,19000,20000,20000,20000
GET,/api/customer/owners/2,361,349,94,1869.3570955678665,8.065100000010261,18041.554099999998,151.1606648199446,1.2154889307065333,1.1750848665279228,94,350,1000,2100,7200,13000,15000,16000,18000,18000,18000
GET,/api/customer/owners/3,391,386,150.0,2046.3253672634278,9.336899999993875,20178.0955,150.8158567774936,1.3164990911530596,1.299664064411972,150,500,1200,2100,8400,13000,16000,17000,20000,20000,20000
GET,/api/customer/owners/4,371,368,200.0,2204.404729649595,8.260399999983292,20500.664,149.47708894878707,1.2491589841887087,1.239057968144056,200,410,1300,3000,8400,13000,16000,19000,21000,21000,21000
GET,/api/customer/owners/5,367,362,160.0,2427.912851498637,8.022500000009813,19893.576800000006,149.84468664850135,1.2356909627958386,1.2188559360547508,160,460,1500,4400,11000,14000,16000,19000,20000,20000,20000
GET,/api/customer/owners/6,388,377,160.0,2270.093913144331,8.244699999977456,20501.843899999996,152.79896907216494,1.306398075108407,1.269361016278014,160,410,1500,3900,8400,14000,16000,19000,21000,21000,21000
GET,/api/customer/owners/7,370,366,130.0,1945.389099459459,7.911199999995233,19416.085699999996,149.57297297297296,1.2457919788404912,1.232323957447621,150,420,1000,3000,7800,10000,14000,16000,19000,19000,19000
GET,/api/customer/owners/8,360,350,130.0,1994.7596924999991,8.136500000006208,17114.1365,150.66666666666666,1.2121219253583158,1.1784518718761403,130,460,1300,2500,7800,13000,14000,16000,17000,17000,17000
GET,/api/customer/owners/9,388,378,170.0,2409.7189778350553,8.567400000004,19539.522100000057,150.72680412371133,1.306398075108407,1.2727280216262316,170,570,2000,5300,8800,13000,16000,19000,20000,20000,20000
GET,/api/vet/vets,2483,2227,140.0,1407.9845834877144,7.576000000000249,12747.349499999998,192.8908578332662,8.36027427962416,7.49832091048047,140,460,1200,2300,5600,7800,8900,10000,13000,13000,13000
,Aggregated,12572,12109,140.0,2096.1324199411356,7.453499999996893,20509.336799999997,2757.109290486796,42.329991237790956,40.771067761566236,140,450,1400,3200,8100,13000,16000,17000,20000,21000,21000
